,Mon,Tue,Wen,Thr,Fri,Else
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,機械設計製圖,0.0
4,0.0,0.0,0.0,0.0,機械設計製圖,0.0
n,0.0,0.0,0.0,0.0,機械設計製圖,0.0
5,0.0,0.0,0.0,應用力學一,中亞國際關係,0.0
6,0.0,程式設計,機器人技術與實作,應用力學一,中亞國際關係,0.0
7,0.0,程式設計,機器人技術與實作,0.0,0.0,0.0
8,0.0,程式設計,機器人技術與實作,0.0,0.0,0.0
9,0.0,0.0,機器人技術與實作,0.0,0.0,0.0
a,0.0,0.0,0.0,0.0,0.0,0.0
b,0.0,0.0,0.0,0.0,0.0,0.0
c,0.0,0.0,0.0,0.0,0.0,0.0
